FID,TBBH,POINT_X,POINT_Y
114,989,40452381.319799997000000,3582239.762399999900000
115,989,40452392.606799997000000,3582247.379300000100000
116,989,40452398.246900000000000,3582248.004400000000000
117,989,40452495.369199999000000,3582251.737300000200000
118,989,40452718.888099998000000,3582260.328199999900000
119,989,40452715.500900000000000,3582206.810500000100000
120,989,40452729.788400002000000,3582204.429300000000000
121,989,40452732.963500001000000,3582181.410500000200000
122,989,40452790.797899999000000,3582182.922499999900000
123,989,40452790.472599998000000,3582213.140500000200000
124,989,40452809.655000001000000,3582214.463399999800000
125,989,40452808.662799999000000,3582208.179599999900000
126,989,40452829.167999998000000,3582209.171699999800000
127,989,40452828.837300003000000,3582215.786299999800000
128,989,40452855.288900003000000,3582216.098799999800000
129,989,40452856.674300000000000,3582265.623999999800000
130,989,40452887.499600001000000,3582266.808800000200000
131,989,40453092.265400000000000,3582274.679000000000000
132,989,40453113.390600003000000,3582275.490999999900000
133,989,40453113.390600003000000,3582275.336600000000000
134,989,40453114.283200003000000,3582252.950999999900000
135,989,40453115.108999997000000,3582232.241100000200000
136,682,40458980.467699997000000,3585581.669550000200000
137,682,40459097.262000002000000,3585494.939999999900000
138,682,40459145.310999997000000,3585463.396019999900000
139,682,40459169.195699997000000,3585444.852700000200000
140,682,40459207.425899997000000,3585416.917520000100000
141,682,40459220.635799997000000,3585407.712650000100000
142,682,40459227.441000000000000,3585402.243030000000000
143,682,40459244.048199996000000,3585386.029279999900000
144,682,40459269.800999999000000,3585355.346070000000000
145,682,40459305.393600002000000,3585310.689950000000000
146,682,40459327.821500003000000,3585277.982609999800000
147,682,40459329.045199998000000,3585276.190719999800000
148,682,40459335.737999998000000,3585240.893100000000000
149,682,40459341.029700004000000,3585209.672199999900000
150,682,40459341.029700004000000,3585189.563829999900000
151,682,40459341.029700004000000,3585172.101290000100000
152,682,40459337.854699999000000,3585149.876250000200000
153,682,40459319.862999998000000,3585106.484499999800000
154,682,40459308.221299998000000,3585083.201119999900000
155,682,40459302.929600000000000,3585074.734430000200000
156,682,40459283.350400001000000,3585068.384420000000000
157,682,40459252.663699999000000,3585061.575840000100000
158,682,40459264.433499999000000,3585069.826500000000000
159,682,40459290.257200003000000,3585097.868850000200000
160,682,40459306.343199998000000,3585116.162659999900000
161,682,40459317.055900000000000,3585133.546459999900000
162,682,40459318.045500003000000,3585137.928100000100000
163,682,40459318.328199998000000,3585143.723199999900000
164,682,40459317.197300002000000,3585148.104979999800000
165,682,40459313.097400002000000,3585155.313550000100000
166,682,40459283.163300000000000,3585188.991010000000000
167,682,40459278.892200001000000,3585196.149830000000000
168,682,40459277.761600003000000,3585203.183050000100000
169,682,40459281.153399996000000,3585208.834830000100000
170,682,40459287.057599999000000,3585216.621630000000000
171,682,40459306.069700003000000,3585234.163139999800000
172,682,40459312.225100003000000,3585241.447470000000000
173,682,40459317.375600003000000,3585250.615900000100000
174,682,40459317.501199998000000,3585259.909769999800000
175,682,40459314.592500001000000,3585270.530809999900000
176,682,40459310.321300000000000,3585276.559359999800000
177,682,40459299.141099997000000,3585285.978790000100000
178,682,40459292.860100001000000,3585291.253719999900000
179,682,40459286.819499999000000,3585297.752989999900000
180,682,40459276.659000002000000,3585309.339800000200000
181,682,40459269.514899999000000,3585318.545650000200000
182,682,40459260.370600000000000,3585330.504749999800000
183,682,40459256.839000002000000,3585334.035699999900000
184,682,40459249.775700003000000,3585338.272719999800000
185,682,40459210.861000001000000,3585357.001960000000000
186,682,40459173.911200002000000,3585376.503420000000000
187,682,40459158.003300004000000,3585387.027100000100000
188,682,40459146.963299997000000,3585394.987569999900000
189,682,40459142.593099996000000,3585398.138720000200000
190,682,40459131.837200001000000,3585405.894330000000000
191,682,40459097.977700002000000,3585424.661580000100000
192,682,40459090.606399998000000,3585429.220580000000000
193,682,40459080.963900000000000,3585436.980099999800000
194,682,40459068.855099998000000,3585448.384750000200000
195,682,40459056.131999999000000,3585460.013929999900000
196,682,40459048.040500000000000,3585471.290589999900000
197,682,40459031.098899998000000,3585491.299269999800000
198,682,40459019.575599998000000,3585504.104330000000000
199,682,40459009.568999998000000,3585510.938970000000000
200,682,40458996.986699998000000,3585513.019090000100000
201,682,40458988.806400001000000,3585514.325079999900000
202,682,40458983.654500000000000,3585513.334480000200000
203,682,40458947.955899999000000,3585497.066300000100000
204,682,40458920.113399997000000,3585487.687150000100000
205,682,40458909.596000001000000,3585486.936069999800000
206,682,40458893.444200002000000,3585487.436749999900000
207,682,40458881.620200001000000,3585489.834189999800000
208,682,40458870.852300003000000,3585495.717699999900000
209,682,40458863.089400001000000,3585501.851540000200000
210,682,40458836.418700002000000,3585531.058869999800000
211,682,40458820.147900000000000,3585548.739990000100000
212,682,40458813.990400001000000,3585556.627350000200000
213,682,40458789.938299999000000,3585582.405799999800000
214,682,40458760.237499997000000,3585613.646749999800000
215,682,40458732.711499996000000,3585638.368139999900000
216,682,40458729.470700003000000,3585641.278700000100000
217,682,40458726.179600000000000,3585644.234499999800000
218,682,40458704.858099997000000,3585662.216109999900000
219,682,40458684.970700003000000,3585681.017169999900000
220,682,40458668.830799997000000,3585698.251650000000000
221,682,40458659.191200003000000,3585709.376300000100000
222,682,40458725.564199999000000,3585771.808050000100000
223,682,40458775.891599998000000,3585727.332250000000000
224,682,40458836.958899997000000,3585663.152420000200000
225,682,40458865.648599997000000,3585654.367939999800000
226,682,40458870.840200000000000,3585653.042690000000000
